county,female,s_total,tot_arrest,arr_rate,status_rate
Alameda County,843713,27,231,27.378979,3.2001402
Alpine County,534,0,2,374.53183,0
Amador County,18302,0,3,16.391651,0
Butte County,107485,0,56,52.100292,0
Calaveras County,23220,1,13,55.986217,4.306632
Colusa County,10584,0,2,18.896448,0
Contra Costa County,588954,0,108,18.337595,0
Del Norte County,12698,0,3,23.625769,0
El Dorado County,96971,0,32,32.999557,0
Fresno County,501279,11,240,47.877529,2.1943867
Glenn County,13882,3,7,50.425011,21.61072
Humboldt County,68146,3,22,32.283627,4.4023128
Imperial County,88043,0,39,44.296535,0
Inyo County,9013,0,5,55.475426,0
Kern County,440749,6,194,44.015984,1.3613191
Kings County,68752,22,67,97.451714,31.999069
Lake County,32309,1,17,52.616917,3.0951128
Lassen County,11586,3,13,112.20438,25.89332
Los Angeles County,5041632,56,1025,20.330719,1.1107514
Madera County,81478,1,38,46.638355,1.2273252
Marin County,131399,5,47,35.768917,3.8052039
Mariposa County,8501,0,2,23.526644,0
Mendocino County,43412,1,16,36.856171,2.3035107
Merced County,138150,118,197,142.59862,85.414406
Modoc County,4363,0,3,68.760025,0
Mono County,6805,3,103,1513.5929,44.085232
Monterey County,211901,1,14,6.6068587,0.47191849
Napa County,68287,9,41,60.04071,13.179668
Nevada County,50667,374,653,1288.8073,738.15302
Orange County,1604655,0,50,3.1159346,0
Placer County,206212,2,5,2.4246891,0.96987563
Plumas County,9517,18,134,1408.0067,189.13524
Riverside County,1246161,6,148,11.876475,0.48147872
Sacramento County,795947,0,4,0.50254601,0
San Benito County,31852,6,338,1061.1578,18.837122
San Bernardino County,1098605,150,583,53.067299,13.653679
San Diego County,1652586,0,104,6.2931671,0
San Francisco County,424968,0,130,30.590538,0
San Joaquin County,384918,0,37,9.6124372,0
San Luis Obispo County,139672,3,53,37.946045,2.1478894
San Mateo County,382461,3,144,37.650898,0.78439373
Santa Barbara County,222246,13,292,131.38594,5.8493743
Santa Clara County,939349,4,64,6.8132291,0.42582682
Santa Cruz County,136565,50,77,56.383408,36.612602
Shasta County,91109,0,8,8.7806911,0
Sierra County,1437,2,95,6610.9951,139.17885
Siskiyou County,21736,3,84,386.45566,13.801988
Solano County,224403,2,118,52.583969,0.89125371
Sonoma County,250550,0,25,9.9780483,0
Stanislaus County,277251,1,24,8.6564159,0.36068401
Sutter County,48428,0,0,0,0
Tehama County,32480,101,227,698.8916,310.9606
Trinity County,5958,8,20,335.68311,134.27324
Tulare County,234796,58,371,158.00951,24.702295
Tuolumne County,26113,0,15,57.442654,0
Ventura County,424927,0,12,2.8240144,0
Yolo County,113281,,,,
Yuba County,39591,,,,
